,TP9,AF7,AF8,TP10
0,-0.24792706917989338,-0.11630820649932455,-0.12227367978079001,-0.22355507673602598
1,-0.883507453217825,-0.48182681542263306,-0.4895704771634708,-0.7941798126393813
2,-2.015462917517798,-1.223999230552439,-1.2154295887511362,-1.7763440194591458
3,-3.542202073028043,-2.3685251342283222,-2.296843662925922,-3.052373685593766
4,-5.399681496376758,-3.7973559643210058,-3.5786993489437156,-4.406512326931547
5,-7.50541380438018,-5.524149174198131,-5.059785055164975,-5.895259686608747
6,-9.449331533497414,-7.336231327506981,-6.4574432858215935,-7.3065218262623555
7,-10.848904289986375,-8.864796696458896,-7.499116598742296,-8.399780519332928
8,-11.534249515212405,-9.844525747720057,-8.062457380431015,-9.022249866273333
9,-11.558403615017887,-10.235276550898687,-8.201043150393156,-9.154068981361554
10,-11.528297102266547,-10.144332427054918,-8.082611819853112,-9.116414617765798
11,-11.621269626032603,-10.169536843226576,-8.094101026422102,-9.107518109311398
12,-11.46441608677728,-10.329684497390726,-8.211459099632847,-9.071310933507942
13,-10.555805235525128,-10.094388980783704,-7.997777973177336,-8.593726525979559
14,-8.72159675069968,-9.067339733846381,-7.263633809928863,-7.557564585842089
15,-6.045428646020362,-7.148413022245908,-5.944291486277195,-5.988692849422368
16,-2.916651509878869,-4.539779000671412,-4.188554196146676,-4.1157004214684525
17,0.2260333366128,-1.6778604042436214,-2.283797590480909,-2.204950049032366
18,3.417465945322447,1.0451352100471967,-0.4511571463408187,-0.24580073644780231
19,6.524104477888763,3.766057811355333,1.385519380622474,1.7576846261777836
20,9.470758651767802,6.330711520432054,3.144310911638624,3.8352225396925084
21,12.23939494010151,8.664339603564734,4.773235323822152,5.921519998457783
22,14.484733334525924,10.691161150276484,6.240655917082205,7.874192111033388
23,15.928378480272446,12.520792783304023,7.539675989028297,9.643850359338087
24,16.56952816620716,14.02280838087526,8.553472620474924,11.301273009795175
25,16.63444845923963,15.056095021428323,9.199805010567287,12.711279780025457
26,16.589385111370085,15.58495492019717,9.490187603051737,13.709057899755598
27,16.566111652495422,15.692386941027905,9.509140450285917,14.212612604050333
28,16.478177355708674,15.615016367216567,9.49032866079571,14.267578424394843
29,16.112429039544352,15.624743730823367,9.507450189062624,14.229128292256206
30,15.552949859277339,15.669658507629697,9.459908296799181,14.261179564127916
31,14.839986786453744,15.367007897350767,9.183539432081123,14.194794427305597
32,13.97719008414484,14.571844574547638,8.668114956183377,13.710280683710486
33,12.932309540829605,13.237478412949443,7.977289028168929,12.773080254918362
34,11.570818951669915,11.482297459518428,7.243135883735397,11.50372989987003
35,10.032522803073466,9.52065044008477,6.583956933860264,10.11601886862928
36,8.401143193379728,7.474474216458014,5.966783502074496,8.727846945038676
37,6.666355985588099,5.37105078162862,5.424030018388756,7.1560574728338215
38,4.830942075190875,3.3168641166281736,4.958263836116153,5.358672313473379
39,3.0223454692199843,1.3779090471111688,4.560842279699955,3.416494906861879
40,1.4304247582243337,-0.40658556050472716,4.218164328289891,1.5051768454486094
41,0.1364281256824691,-2.0184879028322347,3.9024636910343333,-0.25967096543545876
42,-0.9524285133085335,-3.4307740508169324,3.6248900431117868,-1.8810272963418566
43,-1.977549178434608,-4.7027533214017545,3.4140540841121485,-3.366695586668213
44,-2.9661348688756215,-5.733417338501596,3.2870659695857305,-4.64387240272607
45,-3.834495817740593,-6.42580546858568,3.231125881221816,-5.5582759587143675
46,-4.544418571720767,-6.766843758500815,3.2159121514540034,-6.042422914523413
47,-5.197994374824732,-6.83577499977655,3.2081212473971554,-6.186707283066867
48,-5.939496495401568,-6.772425011236795,3.2001841934572903,-6.1638795686808505
49,-6.791243915979925,-6.767694434425282,3.1844616963153403,-6.1489504670487705
50,-7.636698183450404,-6.81221788200894,3.1192821191518596,-6.160342822169174
51,-8.351480984141261,-6.70919410988221,2.9696363715838965,-6.130171022863839
52,-9.041642299313867,-6.414348586650517,2.7202934897257034,-6.024692838372303
53,-9.699993296688113,-5.933139893101924,2.376198486130514,-5.875277756461737
54,-10.253768112186805,-5.352799350873283,1.9484624463226554,-5.674125177114981
55,-10.604542383211669,-4.78440330782594,1.4440346551052523,-5.379980612676269
56,-10.685222586562197,-4.314048941111199,0.8487752877839827,-4.969844317737077
57,-10.673891358648019,-3.948585680938255,0.1627261231234537,-4.448157197672538
58,-10.70454203272681,-3.72884795219668,-0.6105889074753442,-3.913251235506888
59,-10.672118214634594,-3.654210154622688,-1.4609969774847666,-3.4296406819289436
60,-10.231326861204835,-3.652185308740973,-2.3693138626730215,-2.9495095372541624
61,-9.30922272371534,-3.6622272910134175,-3.3103689468431288,-2.4093925840930335
62,-8.053077372652114,-3.6359973739295066,-4.243575527403305,-1.8358803815416112
63,-6.776804024667948,-3.5918501097147297,-5.229168609165608,-1.3158983321057325
64,-5.727286995069335,-3.5408587541688807,-6.135650778155576,-0.8763452596619182
65,-4.809984459377963,-3.544387470448161,-6.807230120295582,-0.44608146634860535
66,-3.891629952230201,-3.5774388896711975,-7.16730242848878,0.03686179147941651
67,-2.945132599621638,-3.538125848112271,-7.24176295293309,0.612657032484184
68,-2.0504482875271623,-3.336156287475657,-7.203731818348224,1.1959448464884666
69,-1.2562143321774755,-2.8917324916136815,-7.195535766352603,1.6514015739376255
70,-0.501798693288507,-2.217281546301699,-7.1949382648784725,1.9173105819461425
71,0.2952217736378263,-1.3893721832524255,-7.004928540712693,2.018267375185444
72,1.1044513240068112,-0.5222626474248432,-6.559848598831953,1.98799609238542
73,1.795872010459223,0.3443112849022503,-5.9204563407798645,2.013545323038951
74,2.3055130801870027,1.1364668792628339,-5.301651902045434,2.0638608364941105
75,2.730233579952217,1.811622018650074,-4.900092055932063,1.9709022701207441
76,3.209471085689869,2.3525155890470213,-4.743931029431101,1.6084931749190736
77,3.818042473171833,2.7630747458232716,-4.758465954253333,0.9270318099938306
78,4.419957130124589,3.061721399473331,-4.780825867867223,-0.06884748487538545
79,4.84485114577458,3.2841676571312344,-4.718424001563865,-1.1217351690811919
80,5.0346887730937855,3.4432205971664005,-4.623944679027518,-1.922636866657554
81,5.02510335247883,3.5452247986369523,-4.544042815677449,-2.4204977345467267
82,5.051453620134577,3.5960035869928846,-4.513077255454877,-2.5669251379983167
83,5.1076543841215765,3.5925053929558097,-4.548703806592876,-2.533139313819423
84,5.005444302517183,3.607091657422195,-4.559443763546472,-2.5156485922027634
