,Raw TP9,Raw AF7,Raw AF8,Raw TP10,Eyebrows TP9,Eyebrows AF7,Eyebrows AF8,Eyebrows TP10,Left TP9,Left AF7,Left AF8,Left TP10,Right TP9,Right AF7,Right AF8,Right TP10,Both TP9,Both AF7,Both AF8,Both TP10,Teeth TP9,Teeth AF7,Teeth AF8,Teeth TP10,Predict Eyebrows,Predict Left,Predict Right,Predict Both,Predict Teeth
1125,-22.94921875,-63.4765625,-80.078125,42.48046875,0.497601860377036,0.33341211871942183,0.3557288342734113,0.7338939296524275,0.497601860377036,0.33341211871942183,0.3557288342734113,0.7338939296524275,0.497601860377036,0.33341211871942183,0.3557288342734113,0.7338939296524275,0.8295733455044491,0.7208181751359788,0.7054469379569306,0.8656158441139297,0.5392980099860051,0.4769167410770052,0.47338820177123453,0.735070700941066,4.832186732528498e-06,5.846218300575856e-07,0.0038662159349769354,0.17566174268722534,0.2780888080596924
1126,-31.73828125,-62.01171875,-68.84765625,21.484375,0.5011485222635237,0.3324359527843766,0.35537496881146285,0.741165168994794,0.5011485222635237,0.3324359527843766,0.35537496881146285,0.741165168994794,0.5011485222635237,0.3324359527843766,0.35537496881146285,0.741165168994794,0.8300082343564704,0.7208654512149913,0.7054877435204105,0.8665478183353511,0.5374112299756854,0.47555787807923744,0.47291622875997325,0.731639403977324,5.952308129053563e-06,1.3362334811972687e-06,0.0038517469074577093,0.1452898234128952,0.28383445739746094
1127,-19.53125,-69.3359375,-78.125,23.4375,0.5042200918464341,0.3316474690146641,0.3550486041836151,0.7472704263435408,0.5042200918464341,0.3316474690146641,0.3550486041836151,0.7472704263435408,0.5042200918464341,0.3316474690146641,0.3550486041836151,0.7472704263435408,0.8304242881212772,0.7209284952382251,0.7055441545745179,0.8674333071802022,0.534851078334563,0.47492509635300184,0.47277654755828397,0.7279293827052307,3.808032033703057e-06,1.3956082511867862e-06,0.0033338190987706184,0.11966300010681152,0.27070364356040955
1128,-10.25390625,-60.05859375,-73.73046875,20.01953125,0.5068005734778255,0.331059364416758,0.35475082043101047,0.75219195024501,0.5068005734778255,0.331059364416758,0.35475082043101047,0.75219195024501,0.5068005734778255,0.331059364416758,0.35475082043101047,0.75219195024501,0.8308231761439323,0.7210056333719911,0.7056139361045745,0.8682626536578572,0.5324695288914143,0.47435349806886784,0.47272985005897267,0.7242581082021505,2.5731035293574678e-06,1.972949803530355e-06,0.0025947801768779755,0.08043106645345688,0.2195512354373932
1129,-15.625,-64.453125,-72.265625,12.20703125,0.5088823764783482,0.33067877877262425,0.3544821467027067,0.7559480350899462,0.5088823764783482,0.33067877877262425,0.3544821467027067,0.7559480350899462,0.5088823764783482,0.33067877877262425,0.3544821467027067,0.7559480350899462,0.8312009602904944,0.7210932392336629,0.7056947254843392,0.8690273822325046,0.5311606378961481,0.4741865198919173,0.47268481312019994,0.72164526354472,1.3891715298086638e-06,3.3034614261850948e-06,0.0014106100425124168,0.05057358369231224,0.20814551413059235
1130,-32.71484375,-78.61328125,-77.1484375,1.46484375,0.5104663038069348,0.3305072398629118,0.35424259934579516,0.7585906124745424,0.5104663038069348,0.3305072398629118,0.35424259934579516,0.7585906124745424,0.5104663038069348,0.3305072398629118,0.35424259934579516,0.7585906124745424,0.831549274894247,0.7211868587086525,0.7057835323926599,0.8697216174914759,0.5305690559745535,0.4743315874354601,0.47286220961092634,0.7200472170666439,3.180617932230234e-05,3.725741180460318e-06,0.001069377176463604,0.05179450288414955,0.2240207940340042
1131,-29.296875,-80.078125,-83.0078125,10.25390625,0.5115614112349169,0.33054080094509647,0.35403174115856695,0.7602015485715644,0.5115614112349169,0.33054080094509647,0.35403174115856695,0.7602015485715644,0.5115614112349169,0.33054080094509647,0.35403174115856695,0.7602015485715644,0.8318578907009352,0.7212834702963257,0.705876530136003,0.8703408384883792,0.5306202258612985,0.4753881435250472,0.4733456566342422,0.7190926592043448,0.00011474517668830231,3.935229869966861e-06,0.0009750847239047289,0.05705137550830841,0.24723024666309357
1132,-21.484375,-70.80078125,-78.61328125,27.34375,0.5121847299783762,0.3307703592933943,0.35384875930529824,0.7608878724391093,0.5121847299783762,0.3307703592933943,0.35384875930529824,0.7608878724391093,0.5121847299783762,0.3307703592933943,0.35384875930529824,0.7608878724391093,0.832116909303906,0.721381364047132,0.7059705185906437,0.8708813954424041,0.5317180876696711,0.47728522040231963,0.47388894245627006,0.7190213295798841,0.0003262639802414924,4.942005489283474e-06,0.0010220351396128535,0.046179283410310745,0.13620342314243317
1133,-22.4609375,-68.359375,-69.82421875,30.2734375,0.51236084402147,0.3311821367985562,0.35369255761726553,0.7607762022150989,0.51236084402147,0.3311821367985562,0.35369255761726553,0.7607762022150989,0.51236084402147,0.3311821367985562,0.35369255761726553,0.7607762022150989,0.8323207205427953,0.7214793531046424,0.7060642916337712,0.8713386496518798,0.5334469062194593,0.4789046564138898,0.47441897934997335,0.7199489049232052,0.0009466412593610585,6.050573119864566e-06,0.004034881014376879,0.043822433799505234,0.10574008524417877
1134,-31.25,-65.4296875,-62.01171875,21.484375,0.5121213137481867,0.3317582970314612,0.3535618575128114,0.7600066617762709,0.5121213137481867,0.3317582970314612,0.3535618575128114,0.7600066617762709,0.5121213137481867,0.3317582970314612,0.3535618575128114,0.7600066617762709,0.8324659219180192,0.7215769280574177,0.7061575696489647,0.8717060969118424,0.5350718762951198,0.4803539134816831,0.47492231369987775,0.721192297734448,0.0012500196462497115,8.513895409123506e-06,0.006130849476903677,0.04712137579917908,0.09649594128131866
1135,-24.90234375,-61.5234375,-69.3359375,20.99609375,0.5115039401628749,0.33247766799978246,0.3534553006812758,0.7587265894182398,0.5115039401628749,0.33247766799978246,0.3534553006812758,0.7587265894182398,0.5115039401628749,0.33247766799978246,0.3534553006812758,0.7587265894182398,0.8325495482553342,0.7216737902427397,0.7062491810320719,0.8719757799802549,0.5363036988822559,0.4822247152195427,0.47546365355252457,0.7230154358921649,0.051739826798439026,5.9647704802046064e-06,0.004114475566893816,0.048484425991773605,0.091495580971241
